,D-A,D-K,IQ-A,IQ-O,IQ-R,R-B,R-T,TA-C,TA-R,TA-S
D-A,0.487,3,1,-1,1,-1,-1,-1,-1,-1
D-K,[0.487-0.484],0.477,-1,-1,3,-1,3,2,-1,3
IQ-A,[0.774-0.472],[0.670-0.506],0.733,0,-1,-2,3,0,-1,2
IQ-O,[0.701-0.472],[0.596-0.420],[0.770-0.846],0.671,1,-2,3,0,-1,-1
IQ-R,[0.647-0.473],[0.542-0.506],[0.734-0.781],[0.739-0.769],0.656,-1,3,1,-2,-1
R-B,NULL,[0.622-0.578],[0.671-0.787],[0.583-0.667],[0.671-0.772],0.634,-1,2,2,-1
R-T,NULL,[0.336-0.319],[0.336-0.447],[0.336-0.399],[0.337-0.423],NULL,0.342,3,3,3
TA-C,[0.583-0.473],[0.618-0.506],[0.772-0.782],[0.777-0.770],[0.782-0.743],[0.758-0.671],[0.352-0.336],0.691,0,-1
TA-R,[0.651-0.516],[0.660-0.539],[0.765-0.786],[0.750-0.757],[0.764-0.724],[0.779-0.689],[0.378-0.336],[0.765-0.787],0.700,2
TA-S,[0.647-0.522],[0.521-0.470],[0.593-0.685],[0.542-0.623],[0.592-0.542],[0.512-0.534],[0.435-0.374],[0.593-0.637],[0.608-0.679],0.568
